LABEL,S,2E,lambda,Tc,kappa,K
t5049,18,78,1.2007660796225832,2.103094219889554,4.333333333333333,5
t5050,10,42,1.2147887935586816,2.384281357869768,4.2,5
t5051,17,68,1.1603173435246643,2.240917367464016,4.0,5
t5052,17,68,1.1603176797964894,2.2409173206621134,4.0,5
t5053,10,44,1.2629728104097568,2.5029721026560234,4.4,5
t5054,9,40,1.270670926542486,2.529883986853388,4.444444444444445,5
t5055,10,46,1.3053329313534263,2.625734196528996,4.6,5
t5056,18,72,1.1549550747675257,2.2153737478024182,4.0,5
t5057,18,72,1.1550718895868377,2.216960499262984,4.0,5
t5058,16,64,1.1527973085901653,2.204670845015419,4.0,5
t5059,16,64,1.1542315636036578,2.214719467323988,4.0,5
t5060,18,72,1.15495510050104,2.2153721147258665,4.0,5
t5061,18,72,1.1550720374883627,2.2169588850334545,4.0,5
t5062,16,64,1.15279713819706,2.204668895795304,4.0,5
t5063,16,64,1.1542316907332844,2.214717642135872,4.0,5
t5064,9,40,1.2740085774532215,2.529883986854613,4.444444444444445,5
t5065,10,44,1.263288156095429,2.502972102656792,4.4,5
t5066,10,46,1.3111101150968076,2.6257341965265044,4.6,5
t5067,10,48,1.353613417731787,2.753044958974981,4.8,5
t5068,9,44,1.3707571244570145,2.811214146980069,4.888888888888889,5
t5069,10,50,1.3952651759189316,2.885390081763862,5.0,5
t5070,16,64,1.1536194454902786,2.2095124457384205,4.0,5
t5071,16,64,1.153632056640602,2.20983713228654,4.0,5
t5072,18,72,1.155035779822957,2.216165353807976,4.0,5
t5073,15,60,1.1442104983849566,2.163748784315731,4.0,5
t5074,15,60,1.1473154870209543,2.185983339024046,4.0,5
t5075,16,72,1.2718778243337736,2.4956393511690145,4.5,5
t5076,16,64,1.1536179919357952,2.209454001130934,4.0,5
t5077,16,64,1.1536308786697689,2.2097788117000503,4.0,5
t5078,15,60,1.1442085317503243,2.1636745306992458,4.0,5
t5079,15,60,1.1473139170235236,2.1859169504876577,4.0,5
t5080,16,72,1.2718768394616138,2.4956171566956025,4.5,5
t5081,9,40,1.2740599123724248,2.5298839868681937,4.444444444444445,5
t5082,10,46,1.3116417132697402,2.6257341965114143,4.6,5
t5083,10,48,1.359200461488566,2.753044958956855,4.8,5
t5084,9,44,1.3774478486209665,2.8112141469767646,4.888888888888889,5
t5085,10,50,1.401356070213981,2.8853900817879623,5.0,5
t5086,9,44,1.3748014269526614,2.8112141469765093,4.888888888888889,5
t5087,10,50,1.4016763073833576,2.8853900817868663,5.0,5
t5088,10,52,1.4435849186564085,3.0232700006681954,5.2,5
